"","numemp","asset","RBCT2","rbc1rwaj","rbcrwaj"
"17495",25,45557,323.2,19.7405483528822,20.9962352703496
"2312",16,21156,123.05,35.1067661166989,36.391300036015
"1438",3,6652,21,25.5497960310401,26.1939085360243
"11311",9,14676,58,22.6072094468614,23.508390304537
"5216",12,31340,174,11.2129504799082,12.0882548242349
"20259",159,188978,1553.4,12.2600749376199,13.5259307307803
"4190",127,225503,943,19.4963651220004,20.5404376025527
"5283",39,94305,383,27.0963381777479,28.2518773740598
"4048",127,179667,808,11.8773012587209,12.6944029545103
"2211",75,125759,1008.11,12.0139144529388,13.2646990547309
"5395",12,57872,133,26.9314351605464,27.4229791260127
"21272",53,107248,883.71,13.0717360600872,14.3244878086675
"5423",20,35958,312.81,14.6268683339768,15.9553905998163
"4131",64,83749,184,16.0812292865079,16.5227971403682
"22942",13,22358,130,18.7917804834525,19.6840125736091
"5475",24,54968,295,21.0043063222167,22.2388690568359
"2255",60,100750,545.34,19.0875784089355,20.339137866616
"5552",196,315755,1660.39,19.1494463064685,20.401732606303
"2838",21,37077,223.22,22.3861647580734,23.6570293809872
"4415",128,284751,2135,13.0803323549,14.0909540600248
"1777",9,14252,75.66,29.5455004069443,30.8177898553162
"12427",8,13190,61,12.7154604781833,13.6080302010477
"13957",5,10174,61,14.2726787528192,15.3228999879483
"21758",158,290557,2004,10.0136647596855,11.0896639113428
"26795",33,47405,367.45,14.3922414160438,15.6448300253108
"2751",33,73117,523,13.5352837046581,14.6309273167206
"10663",75,131984,843.32,16.8434923788955,18.0966422679974
"3759",30,85322,515.8,20.8731463427071,22.1256322528477
"12172",132,258250,1817.78,16.9935522531856,18.2502358468065
"32740",44,71459,582.1,7.719610345524,8.97026027097057
"14523",15,30492,209.35,18.5542291145334,19.8060266862793
"737",31,43558,290.58,13.0981352595601,14.3493042745907
"18625",32,99272,161.42,113.713616678417,114.983728220365
"1290",62,105893,335,16.1906213713191,16.8210826242997
"11251",24,53557,251,19.929726462143,20.8780414084933
"2326",61,142789,694,21.5841257037574,22.6169729242227
"12988",13,38356,132.61,73.0352829232238,74.2870870938905
"3082",36,73455,297.92,23.3898783607271,24.6566139653859
"3601",14,24958,137,21.4087947882736,22.5244299674267
"15510",33,86632,268,26.4113812889855,27.0945441290056
"1841",28,124152,599.12,20.5055601253436,21.7569904179274
"32656",4,5808,13,25.7635082223962,26.2725137039937
"15257",8,14228,120.96,13.5137110906421,14.7769402201043
"10906",17,37917,260.44,24.3149583725588,25.5761787984798
"17759",9,18621,119,25.5306378002463,26.7621521489408
"21840",61,115094,686,10.2108518414394,11.0680036235279
"26522",20,55387,400,13.3805497560357,14.5340454246594
"13624",18,56160,116,51.0090956420543,51.7195969742443
"33829",18,23868,220.9,19.5356946748108,20.7861829256557
"26592",65,320028,1268,15.5449496227693,16.629103196372
"23058",15,33514,148,14.1170792527199,15.1091626949813
"17508",59,125380,894.66,17.2076043931792,18.4798096114588
"26964",18,32203,245,15.8626798496565,17.035742500778
"9169",19,35974,277.39,16.217300960943,17.473869987076
"9369",24,79702,734.29,13.9818057424506,15.2343005745384
"9961",28,52416,399.08,16.3658535970198,17.624047558395
"23988",27,59845,298,12.8903177187884,13.5469527068565
"11159",22,32090,185,10.2364234694651,11.1716028975397
"17695",54,146605,1191.19,19.9938570090118,21.255924866071
"15035",14,36053,231.51,28.6739962319815,29.943030234594
"352",14,28165,274.66,13.7198097739668,14.9784213145539
"16981",1108,2121722,19533.51,10.9024143295017,12.1614295191527
"11862",20,41607,206,18.7589007972533,19.6452158349217
"33616",11,13527,114,20.4540346145201,21.6742125036124
"43",8,11960,26,47.2696933080154,48.0177225386961
"27602",20,60639,511.92,12.8356060150685,14.086472839975
"14671",30,45918,348,11.117586541149,12.1523338308842
"15806",8,14517,54,24.1640175445656,25.2504929379099
"14246",27,61513,267.41,42.2623363844169,43.5141497841241
"33022",41,110729,1082.57,11.5880448329734,12.8381564119302
"21267",203,97705,918.58,13.7167635455976,14.9857679425877
"21635",10,20146,190.11,10.5214573864516,11.7731684401051
"2382",13,32478,147.51,30.3282471752145,31.582092394053
"5619",7,10614,72,13.8187758599912,14.7828765013859
"2455",23,65510,280,19.3159080075243,20.1151475881518
"1890",25,28656,197.63,16.1872822194548,17.4423205031076
"15759",14,33628,152,21.0752125974565,22.243921942518
"22826",2864,7399583,388964.56,9.73262131020053,15.3335989331403
"10828",30,43025,327.3,15.0907244544078,16.3449636910578
"25333",13,22605,189.23,13.6549931825144,14.9179132020292
"18936",45,102681,563,15.1963514549784,16.1052589094725
"13292",112,187550,1436.85,16.6254633470262,17.875570469857
"21164",23,45648,255,16.309269713351,17.3266042967425
"14491",28,59504,475.57,12.7728569933106,14.0268593880894
"33075",60,111644,787,10.9881343107766,11.9691509531568
"15671",52,70962,507.18,19.7019284098834,20.9588370955343
"1374",15,40668,282.7,21.0442267092513,22.3195113589202
"11524",11,17988,105.73,16.1097986810177,17.3668385441498
"18059",123,228775,1432.47,26.6948628048098,27.9515039524275
"15524",5,7505,16.72,86.1158869483908,87.3767079902271
"24319",60,67532,613.07,11.9537311621822,13.2081772360608
"10675",9,13033,71.61,19.9382929106929,21.1929336447305
"2284",12,18486,132.56,19.1330417822205,20.3954987352574
"9243",123,189341,1469.56,14.7529590286756,16.0116886193735
"410",8,11601,67.23,15.5540394199458,16.8246324578595
"20099",16,20815,97.88,26.2093793525596,27.4787381111091
"2039",36,57563,485.95,24.9453506735635,26.2107153040247
"26391",76,213464,1337.68,13.397326116205,14.667082046425
"17244",62,98837,588,15.7327899625736,16.7156714434484
"19792",16,28845,258.19,11.0208560098668,12.2760279609861
"15715",23,86922,228.18,92.1929951688149,93.4551657836598
"24701",11,11828,96.41,9.30364310393443,10.5563864442282
"33646",NA,153515,0,NA,NA
"26256",32,33707,254,10.6865828317724,11.7793332501581
"18425",24,61753,433,17.6137256442489,18.6768345380264
"5686",18,34709,171,15.3772130132475,16.0516175850006
"325",14,16191,138.03,22.1852726718286,23.4724661089419
"1039",192,401645,2820.98,13.0321807852078,14.3026923055097
"22091",21,32586,265.53,11.2567059067379,12.524840450402
"1607",44,76094,526,13.8099838716947,14.8407844274648
"5688",61,105673,939.13,10.6692995528462,11.9277596494381
"9377",8,12224,87.84,17.9847209965429,19.2638933790014
"338",19,47385,396.74,15.2899089771615,16.54791778836
"26975",71,110554,930.19,10.8108122648248,12.0618833597013
"6128",39,63647,446,14.7530665556144,15.8083781328084
"22257",43,89044,863.29,8.78283852303123,10.0412844431221
"16993",50,119777,1012.72,15.0751431817012,16.3277604284171
"898",38,93050,682.51,20.3380673971641,21.5956262284051
"11597",16,36184,238.43,19.8808410147265,21.1332026853055
"20386",39,59838,483.37,18.2399002951283,19.4960080890671
"5862",45,90187,701.34,16.1099716978305,17.3611973401955
"16820",108,232653,1914.73,13.1112313262365,14.3693483933551
"13304",24,47686,417.74,13.1880816420465,14.4398856014077
"27614",64,138505,1225.55,11.4740544297521,12.7257926713742
"1485",93,173346,1171.47,14.0663610936842,15.3328525263502
"8564",16,49133,336.27,19.7070991396033,20.9602962325825
"23041",43,77683,751,10.1512231666995,11.2971075193511
"19561",25,61371,598.1,9.11938564138837,10.3784587143603
