"","cert","numemp","asset","RWAJT","RBCT2"
"3677",27811,1112,2476993,1677713,21546
"3678",3076,259,1147537,854856,9015
"3679",57476,20,93097,58933,737
"3680",24642,45,282719,187511,2479
"3681",11462,28,93334,54468,682
"3682",28285,223,1049264,854685,10732
"3683",57713,11,73950,60128,758
"3684",57037,24,129096,101131,1295
"3685",27763,71,259425,163270,1926
"3686",57983,51,208556,176576,2135
"3687",14679,134,375750,246532,3099
"3688",18072,48,150574,124350,1478
"3689",12506,70,381216,170850,2137
"3690",9307,37,117927,53832,658
"3691",2705,16,57186,23137,258
"3692",35489,2503,92222193,33046998,413200
"3693",22444,178,1192726,874304,11081
"3694",32916,56,252555,178576,2259
"3695",27601,110,392704,320924,4040
"3696",35521,21,143739,107176,1360
"3697",58215,40,140399,100154,1257
"3698",58387,29,158409,115312,1445
"3699",22020,103,347972,206337,2645
"3700",90250,101,1199096,641212,14951
"3701",57020,17,170877,86129,949
"3702",4392,516,2175584,1339738,17939
"3703",57557,108,547535,491111,11139
"3704",57587,34,102599,73945,928
"3705",15578,19,49489,38053,476
"3706",58631,28,223822,132180,1657
"3707",58091,22,103077,79408,1023
"3708",25879,393,2298331,944339,11962
"3709",31495,44,535273,425026,5360
"3710",29953,27,246263,29312,56
"3711",31823,72,256038,180169,2290
"3712",24516,82,1293902,561808,3459
"3713",27210,350,1704767,1441082,20130
"3714",17128,34,162524,134394,1435
"3715",57214,19,138215,48458,224
"3716",25258,78,258268,156621,1991
"3717",11492,92,323368,246750,3111
"3718",33708,43,238656,170140,2143
"3719",24961,136,491876,159526,2015
"3720",25679,219,906732,454721,5717
"3721",19629,3188,10065271,5585368,68419
"3722",25648,116,171702,107742,1360
"3723",24823,89,473874,302095,3872
"3724",31043,47,135332,80267,857
"3725",29501,3,9040,4686,59
"3726",35011,75,1998666,1484408,18720
"3727",58692,19,126611,79010,849
"3728",4799,778,3751546,2722866,34056
"3729",91325,148,141572,33460,0
"3730",58316,54,202666,169047,1509
"3731",30121,29,123449,65262,271
"3732",34295,71,685709,581551,7360
"3733",29093,19,67656,29771,375
"3734",28892,863,9797950,6622566,82981
"3735",34347,23,247589,214654,2749
"3736",19080,195,1305547,779706,9746
"3737",8354,68,204593,136282,1727
"3738",15311,26,106927,87738,1074
"3739",17347,15,65063,35568,446
"3740",14690,43,161442,102119,1288
"3741",15808,67,291974,164460,2064
"3742",15947,27,217416,156831,1717
"3743",13953,67,335933,326855,3241
"3744",14291,21,79619,58763,726
"3745",10497,22,110316,71944,902
"3746",950,51,242075,183068,2289
"3747",14413,22,86259,59387,545
"3748",11349,37,112602,78592,983
"3749",8751,54,191543,126222,1144
"3750",18400,29,155184,105761,1324
"3751",1547,32,156826,95629,935
"3752",10473,28,88859,69208,658
"3753",15593,9,51086,32644,409
"3754",1237,97,212951,156731,1385
"3755",28908,29,162108,103426,840
"3756",11746,21,82858,48172,331
"3757",29675,86,409737,218589,2206
"3758",1005,288,1205747,777376,9750
"3759",12514,74,366882,297218,3788
"3760",23469,52,238659,206269,2580
"3761",19977,724,9105170,5693112,120393
"3762",16666,94,417713,314141,3953
"3763",34619,1,5379,1131,0
"3764",13109,114,376627,278677,3495
"3765",15121,45,233325,149859,1881
"3766",291,39,137377,72156,912
"3767",30492,4,34083,16108,130
"3768",8799,17,55908,22606,284
"3769",31266,8,36488,20504,127
"3770",28211,105,307740,207265,2594
"3771",10960,11,51664,40689,509
"3772",31083,7,96628,50219,250
"3773",16240,55,226312,158749,1992
"3774",16546,200,527294,314705,3930
"3775",16470,210,860862,580482,6587
"3776",34196,39,204996,115009,1450
"3777",1071,93,645699,516848,6554
"3778",58672,20,112528,70926,903
"3779",19762,98,489251,358957,4519
"3780",17452,7,37227,22525,282
"3781",34137,139,578142,416101,5234
"3782",9997,82,273041,157629,1986
"3783",14359,167,683812,449865,5688
"3784",12384,34,138629,70296,723
"3785",18237,67,241184,129819,1816
"3786",17715,81,384723,280274,3526
"3787",58243,54,338066,320572,3452
"3788",14945,13,39912,22477,281
"3789",20296,964,4492366,3331048,68215
"3790",16176,24,89512,56185,75
"3791",22070,24,119124,66189,831
"3792",58396,51,173325,102478,1287
"3793",9325,15,130098,46135,577
"3794",8896,23,62581,43650,547
"3795",10677,104,356088,309431,3873
"3796",15879,43,104873,48919,230
"3797",11329,14,41704,27996,353
"3798",58729,3,25973008,15543306,444670
"3799",21761,0,63057,12547,0
"3800",628,184692,1723460000,980050600,38951000
"3801",15078,16,45082,24735,309
"3802",12308,20,66903,47964,612
"3803",19774,15,52576,27587,346
"3804",35448,108,900711,587359,6732
"3805",5892,34,85170,44802,562
"3806",8220,23,129796,70598,893
"3807",19899,137,690351,497083,6298
"3808",13957,16,44768,28261,269
"3809",13157,65,189039,134356,1684
"3810",8143,29,92773,38194,372
"3811",15329,19,62981,48931,548
"3812",12874,168,510750,402478,5068
"3813",9665,87,509314,361167,4541
"3814",13413,13,38922,22912,261
"3815",17832,45,132064,84170,1054
"3816",9793,43,157898,102455,1292
"3817",9794,36,135667,88017,1107
"3818",28765,408,2869996,1344863,4619
"3819",16471,15,35560,24596,315
"3820",29661,19,78310,53806,228
"3821",17897,89,775369,479398,3490
"3822",13063,262,783244,637011,8004
"3823",18879,37,101698,78057,746
"3824",22609,14,71922,28760,362
"3825",12704,18,88057,57435,668
"3826",9733,3,7307,4212,32
"3827",13843,61,251370,169723,2127
"3828",28722,2,3941,1689,14
"3829",734,189,656608,461201,5727
"3830",267,62,164984,109815,1374
"3831",27877,13,40481,18544,97
"3832",34432,27,99052,71573,896
"3833",34572,46,117803,101538,1195
"3834",12126,27,97693,80478,1008
"3835",1853,37,105056,71886,812
"3836",8761,52,220380,161001,1872
"3837",34644,21,59559,47910,600
"3838",17534,15302,86754629,71389075,2907671
"3839",29691,18,81146,34792,204
"3840",58475,26,225211,178536,8242
"3841",58382,30,194098,144488,1809
"3842",34387,46,260899,199291,2532
"3843",17993,27,78109,51102,357
"3844",58617,30,301933,177185,2222
"3845",35548,28,84107,48972,614
"3846",5765,6,15485,9825,79
"3847",8946,6,23626,11525,118
"3848",18900,41,176486,132453,1526
"3849",19447,21,133383,74853,936
"3850",6616,40,185425,117445,1478
"3851",29486,6,29113,12497,59
"3852",20156,88,559607,352827,4366
"3853",21928,54,165741,111024,1409
"3854",58806,8,36506,19202,240
"3855",9216,24,68685,41356,517
"3856",6161,234,890387,532771,6506
"3857",3286,173,384796,224235,2803
"3858",1414,415,1457244,998345,12562
"3859",8386,17,80346,52071,641
"3860",29901,6,38732,17205,45
"3861",32407,4,13321,6825,60
"3862",18892,7,36756,18939,238
"3863",29771,91,334874,212287,2670
"3864",15127,9,48674,34785,356
"3865",16423,7,25102,16564,188
"3866",12410,45,109145,60468,515
"3867",17068,94,291465,169600,2123
"3868",18012,270,1052261,711127,9295
"3869",28983,10,45865,18864,102
"3870",11106,204,1396973,1044777,18661
"3871",35476,39,136622,97881,1240
"3872",11990,90,363603,273427,3418
"3873",16396,31,87960,78578,613
"3874",58670,23,100478,75485,945
"3875",1390,98,279164,192177,2444
"3876",13102,464,2746108,2243215,28293
"3877",29049,20,79881,52624,660
"3878",8193,30,146008,105968,1346
"3879",17122,9,31298,21850,278
"3880",16256,16,27247,19652,260
