"","cert","numemp","asset","RBCT2"
"1546",32193,87,125655,716
"1547",27943,23,97678,270
"1548",27111,32,84109,608
"1549",31060,25,97510,433
"1550",26995,9,12920,144.7
"1551",23788,4,7215,61.06
"1552",22811,14,70987,527.89
"1553",18155,34,54989,457.34
"1554",32869,23,75461,404.65
"1555",18264,31,46594,320.71
"1556",29401,13,36325,132
"1557",20414,77,111285,528
"1558",28772,13,44131,125
"1559",26550,5,9205,63.4
"1560",90169,49,110119,443
"1561",9189,12,18987,144
"1562",22578,51,75003,623.29
"1563",6196,6,9823,148.52
"1564",10856,9,19596,112
"1565",23622,97,278142,1833
"1566",18221,350,504289,4571.34
"1567",4995,51,88379,570
"1568",6388,288,406706,3582.12
"1569",22853,24,71658,503
"1570",30306,41,98634,506
"1571",26790,31,42534,423.24
"1572",15797,335,663424,3295.72
"1573",1361,5,8994,52
"1574",20577,59,75879,565.16
"1575",26818,12,18917,149
"1576",29713,21,74265,343
"1577",26537,12,37143,151
"1578",17798,96,540077,5270.91
"1579",29272,45,166769,485
"1580",28663,8,25604,0
"1581",14357,28,60326,302
"1582",11721,16,27379,224.25
"1583",24983,29,54673,195.57
"1584",22020,127,155439,1154.3
"1585",1877,17,32760,174
"1586",21738,50,87877,339
"1587",19653,13,18184,130
"1588",2443,80,110400,836
