"","numemp","asset","RBCT2"
"32366",9,45368,189
"22407",210,474133,5133
"20408",84,229040,2124
"26759",36,129527,1020
"26539",75,56571,540
"34636",32,110692,731
"35207",35,71152,577
"22353",40,107704,514
"21219",33,48040,400
"34247",79,308886,2785
"20387",172,477795,4345
"110",320,813421,7354
"23041",86,245918,1832
"22340",25,69423,529
"26210",31,59183,393
"2205",25,57919,379
"34873",27,45830,352
"22597",285,591421,5374
"19125",25,54795,69
"57152",69,99591,551
"22346",12,32077,137
"2247",70,99894,759
"34952",27,66665,662
"19258",50,124109,864
"25291",13,31935,321
"26627",75,184654,1073
"32941",171,470219,3715
"3514",3234,12838624,334074
"4198",30,46754,342
"11293",18,45991,456
"19553",129,5500965,218341
"16389",79,231450,1601
"11244",22,82574,523
"34189",37,117595,1139
"12786",20,58690,298
"19480",7,18832,168
"17041",86,221226,1519
"17159",276,472744,3628
"13397",42,649509,4581
"15134",31,98026,423
"420",11,22049,139
"34156",41,95932,905
"1035",21,77304,403
"23273",120,405960,4035
"8558",11,32667,230
"27496",28,108615,921
"22025",6,9013,68
"12627",86,345415,2962
"57070",18,35802,286
"18626",139,574752,3736
"10744",25,106292,693
"35016",18,75784,789
"5608",36,159548,427
"313",96,176694,975
"4087",29,76314,487
"15204",13,29061,562
"1418",38,67760,349
"34859",15,38611,330
"22528",103,186700,1250
"24211",16,35829,240
"8250",41,107345,861
"11647",31,91230,606
"34639",27,100914,1022
"9323",32,95508,467
"12207",22,87688,688
"15136",68,219850,1843
"16201",24,56368,456
"5699",19,63813,569
"11715",12,36802,297
"11431",37,121580,1178
"15104",50,133476,859
"862",24,70858,356
"18795",7,21651,221
"306",46,95993,710
"13654",38,93995,707
"21377",3500,2694136,194
"15025",3394,23182585,906854
"18914",603,3977522,157011
"21761",0,1490,0
"935",518,4096438,145621
"4345",2263,13514989,599878
"14985",934,5881048,187313
"5021",4568,21416567,712348
"3618",14878,138028439,5195273
"6559",21671,45896339,1978704
"4167",454,3483699,43816
"16703",303,1265995,26838
"6768",390,2037981,49317
"13391",63,338430,1558
"2487",2197,7386519,272762
"16547",39,76928,405
"34147",208,847591,6284
"34757",19,70234,600
"21897",20,66000,415
"10629",19,50006,380
"16107",38,78817,500
"18124",42,87943,624
"32218",28,114776,1019
"32740",79,162776,1976
"30559",1088,4623961,36475
"57074",8,10632,37
"22434",30,87166,449
"18168",89,211778,989
"34365",12,37282,289
"27351",26,46872,428
"26392",21,1042633,76839
"623",4201,45049000,579000
"953",273,1264173,7912
"23592",18,23695,0
"23537",69,124432,1012
"23210",37,172356,1338
"34858",11,21750,0
"28808",319,1156026,8051
"34103",1804,854272,11283
"27550",70,135274,1205
"8870",106,264353,1560
"17594",11,23684,232
"10842",187,594866,4866
"17282",105,296336,2379
"11739",44,188001,1376
"30692",69,90508,660
"5903",462,1099861,9662
"30414",82,278311,556
"77",37,205187,1905
"496",10,24798,233
"29177",81,202610,1929
"32247",558,5197135,13556
"35406",10,16645,139
"34522",28,44867,282
"16704",31,58958,438
"10502",40,77783,640
"33897",173,553861,5209
"4009",156,322720,3258
